AFL,15
CFL,129
Hog,6
LAX,92
MLB,8048
MMA,150
NBA,4132
NCB,5714
NCF,2818
NCW,327
NFL,2584
NHL,4034
PBA,13
WBC,17
EXPN,9
Golf,1693
LLWS,14
None,48
SOFT,166
WNBA,513
Autos,17
CBASE,211
Hoops,202
Horse,108
M Vol,8
Poker,3
Rugby,12
Track,13
W Vol,33
Boxing,46
Eating,3
Hockey,209
NASCAR,223
Oscars,4
Soccer,5538
Tennis,1112
Cricket,82
Curling,16
Cycling,106
Baseball,19
Olympics,146
Wrestling,15
